session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Student Status,Employment Status,Country of Birth,First Language,Political Spectrum (US),Nationality,Current Country of Residence
5dd4d7f4f78cf24a2bb84ded,5dc1c96a575da1124f1ff140,RETURNED,2019-11-20 06:06:58.792000,,54845.733192,41,2,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5dd4d985535a7149f89b37e2,5d4c5f770051fe0001fbf22e,AWAITING REVIEW,2019-11-20 06:13:25.496000,2019-11-20 06:14:40.886000,75.39,37,117,0,100,,4D8547F3,Female,No,Other,United States,English,Liberal,United States,United States
5dd4d99296afdf4a06bd8174,5d33ff76f665c6001ab9aa1e,AWAITING REVIEW,2019-11-20 06:13:44.446000,2019-11-20 06:39:59.020000,1574.574,25,68,3,95,,4D8547F3,Female,Yes,Part-Time,Greece,Greek,Liberal,United States,Greece
5dd4d9c5fbb5735a935a3152,5ba85e7eb3b5400001ce044e,AWAITING REVIEW,2019-11-20 06:14:29.513000,2019-11-20 06:18:51.697000,262.184,,272,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4d9d9523df04a099e12a0,5bf150273941490001fd47fa,AWAITING REVIEW,2019-11-20 06:14:49.808000,2019-11-20 06:21:38.163000,408.355,45,298,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4d9e8c944d14a6574448f,5d3fc9d442a4bc00015c456c,AWAITING REVIEW,2019-11-20 06:15:08.507000,2019-11-20 06:21:16.421000,367.914,23,114,0,100,,4D8547F3,Male,Yes,Part-Time,Mexico,Spanish,Liberal,United States,United States
5dd4d9e8e05cad4a97979abf,5dac11ae4f3f0100165adcbf,AWAITING REVIEW,2019-11-20 06:15:11.085000,2019-11-20 06:16:37.184000,86.099,21,31,0,100,,4D8547F3,Female,Yes,DATA EXPIRED,United States,English,Liberal,United States,United States
5dd4d9f0b2204f49ea77f397,5d404a42e46f4b0001f32854,AWAITING REVIEW,2019-11-20 06:15:18.355000,2019-11-20 06:18:37.333000,198.978,35,107,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4d9f1cf08aa4aa8e5ba58,5ac54531e1546900019c0487,AWAITING REVIEW,2019-11-20 06:15:15.215000,2019-11-20 06:17:14.845000,119.63,22,542,0,100,,4D8547F3,Female,No,Other,United States,English,Liberal,United States,United States
5dd4d9fb3683dc48ea19a879,5db1fbf417a1390054114ee9,AWAITING REVIEW,2019-11-20 06:15:26.152000,2019-11-20 06:18:13.543000,167.391,41,34,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4d9fd41fb3f498245d00d,5b4823ebfa51a70001ff74f8,AWAITING REVIEW,2019-11-20 06:15:25.916000,2019-11-20 06:38:06.736000,1360.82,22,22,0,100,,4D8547F3,Male,No,Due to start a new job within the next month,United States,English,Liberal,United States,United States
5dd4da1db043894961905e35,5dbc5b95e2fafc1f58570e23,AWAITING REVIEW,2019-11-20 06:15:59.051000,2019-11-20 06:16:51.421000,52.37,32,20,0,100,,4D8547F3,Male,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4da38c5faa24a3ef326e2,5767349075905c00018d6a98,AWAITING REVIEW,2019-11-20 06:16:27.279000,2019-11-20 06:22:59.455000,392.176,44,482,3,100,,4D8547F3,Male,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4da3bfce60649be80b80a,559d2afefdf99b7e8b68211a,AWAITING REVIEW,2019-11-20 06:16:38.801000,2019-11-20 06:17:48.339000,69.538,35,124,1,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4da412274974add3a4c38,5c8d42e6c6eef0001abd2d94,AWAITING REVIEW,2019-11-20 06:16:37.240000,2019-11-20 06:19:32.027000,174.787,30,190,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4da429b66eb4b88968779,5aa5e1c61eda41000136d40c,AWAITING REVIEW,2019-11-20 06:16:37.566000,2019-11-20 06:18:19.639000,102.073,29,455,1,100,,4D8547F3,Male,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4da4890fc854abf4a214c,5c53c145409f6e0001130a32,AWAITING REVIEW,2019-11-20 06:16:42.724000,2019-11-20 06:19:46.983000,184.259,29,199,0,100,,4D8547F3,Male,Yes,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4da5f2b033b4ad286febc,5bdbfad21195730001bde189,AWAITING REVIEW,2019-11-20 06:17:06.620000,2019-11-20 06:18:38.079000,91.459,34,43,0,100,,4D8547F3,Male,No,Unemployed (and job seeking),Italy,Italian,Liberal,United States,United States
5dd4da6a929d5d4acee7b507,5ba9a99738803d00012729de,AWAITING REVIEW,2019-11-20 06:17:14.200000,2019-11-20 06:23:14.600000,360.4,23,254,0,100,,4D8547F3,Female,No,Due to start a new job within the next month,United States,English,Liberal,United States,United States
5dd4da6a9740544a71844bd4,5c5cb505ced0b900018ca3a3,AWAITING REVIEW,2019-11-20 06:17:21.768000,2019-11-20 06:23:44.975000,383.207,45,255,1,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4da6ced36494aad4b05d3,5d49d1922b64de00011b9e94,AWAITING REVIEW,2019-11-20 06:17:19.386000,2019-11-20 06:20:47.051000,207.665,40,34,0,100,,4D8547F3,Female,No,Part-Time,United States,English,Liberal,United States,United States
5dd4da710605eb4a93b4035a,5d54851837efaa001bb2969c,AWAITING REVIEW,2019-11-20 06:17:28.765000,2019-11-20 06:22:58.962000,330.197,40,126,0,100,,4D8547F3,Male,No,Part-Time,United States,Japanese,Liberal,United States,United States
5dd4da835daaa64a9c28ba5e,58cefdb030c4cf0001ceb3ac,AWAITING REVIEW,2019-11-20 06:17:39.068000,2019-11-20 06:18:41.805000,62.737,64,729,2,100,,4D8547F3,Female,No,Part-Time,United States,English,Liberal,United States,United States
5dd4da897aa0d64a73b8c997,5ad7835e9c198c0001fad31a,AWAITING REVIEW,2019-11-20 06:18:51.313000,2019-11-20 06:20:09.549000,78.236,31,585,1,100,,4D8547F3,Female,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4da8d9c84d84b0d4e3023,5d071776ffd6f0000150a767,AWAITING REVIEW,2019-11-20 06:17:52.354000,2019-11-20 06:22:08.014000,255.66,18,76,0,100,,4D8547F3,Female,Yes,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4da8e961cb34b4073e68c,5c814d8fde75d40016027a59,AWAITING REVIEW,2019-11-20 06:17:50.809000,2019-11-20 06:23:28.376000,337.567,34,193,1,100,,4D8547F3,Female,No,Part-Time,United States,English,Liberal,United States,United States
5dd4da901228d94a92679838,5badcd276322c5000157c196,AWAITING REVIEW,2019-11-20 06:17:52.154000,2019-11-20 06:21:06.506000,194.352,23,274,3,99,,4D8547F3,Female,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4da9951c6d24b179692ac,5c3413aa64829800018b164a,AWAITING REVIEW,2019-11-20 06:18:01.964000,2019-11-20 06:20:18.356000,136.392,20,96,0,100,,4D8547F3,Male,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4da9b80123f4ab0a06153,5ab6cbbbf69e940001d8e446,AWAITING REVIEW,2019-11-20 06:18:03.097000,2019-11-20 06:20:29.573000,146.476,54,514,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4daa57af6614b14fe9f33,5dd2ff9a11b0bd30de114289,AWAITING REVIEW,2019-11-20 06:18:16.692000,2019-11-20 06:24:55.067000,398.375,22,6,0,100,,4D8547F3,Female,No,Part-Time,United States,English,Liberal,United States,United States
5dd4daa5b2204f49ea77f398,59e834ba5de9b000017ed337,AWAITING REVIEW,2019-11-20 06:18:16.154000,2019-11-20 06:22:15.767000,239.613,27,573,1,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4daad946f7c4a30cd149d,5dc4a2b41992dc36c9a858f8,AWAITING REVIEW,2019-11-20 06:18:21.533000,2019-11-20 06:23:04.963000,283.43,27,18,0,100,,4D8547F3,Male,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,Spanish,Liberal,United States,
5dd4dad2070fdc4a7deefa72,5b564680ed90280001510d9a,AWAITING REVIEW,2019-11-20 06:24:34.886000,2019-11-20 06:29:51.322000,316.436,33,282,0,100,,4D8547F3,Male,No,Part-Time,United States,English,Liberal,United States,United States
5dd4dad3e73e6149bf417510,5a8891155292b800012316a8,AWAITING REVIEW,2019-11-20 06:18:59.146000,2019-11-20 06:21:49.272000,170.126,23,479,0,100,,4D8547F3,Female,Yes,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4daddca74664b4b75ad06,5c5d16ab6ad0f00001cc0ca2,AWAITING REVIEW,2019-11-20 06:19:18.309000,2019-11-20 06:22:14.482000,176.173,51,191,1,100,,4D8547F3,Male,No,Part-Time,United States,English,Liberal,United States,Australia
5dd4daf1eb39734a38ba0e23,5c2c62542c45d400014a32e6,AWAITING REVIEW,2019-11-20 06:19:31.392000,2019-11-20 06:22:34.464000,183.072,25,298,0,100,,4D8547F3,Male,No,Part-Time,United States,English,Liberal,United States,United States
5dd4daf135cf744a18a9a05b,5c761e74b80b460016bd0bd9,AWAITING REVIEW,2019-11-20 06:19:32.041000,2019-11-20 06:20:28.019000,55.978,19,137,0,100,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4db143dffb44a38741208,5b65f528055d9e00011d53f5,AWAITING REVIEW,2019-11-20 06:20:05.722000,2019-11-20 06:23:52.849000,227.127,25,374,0,100,,4D8547F3,Male,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db18c5fa304a7de404e4,5655ebb8d970d100118327ab,AWAITING REVIEW,2019-11-20 06:20:12.182000,2019-11-20 06:23:22.404000,190.222,33,547,0,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db1e41fb3f49e341e473,5c024be169406e00014e0b8e,AWAITING REVIEW,2019-11-20 06:20:42.498000,2019-11-20 06:24:56.041000,253.543,25,408,0,100,,4D8547F3,Male,Yes,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4db21eb39734a38ba0e24,5b274df334ffd00001b46813,AWAITING REVIEW,2019-11-20 06:20:24.993000,2019-11-20 06:24:06.691000,221.698,27,57,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4db2a59b1b04a4f6ecac1,5d1d6bc2f4f472001a36fc1c,AWAITING REVIEW,2019-11-20 06:20:38.954000,2019-11-20 06:21:58.537000,79.583,27,140,0,100,,4D8547F3,Female,No,Part-Time,United States,English,Liberal,United States,United States
5dd4db2a848b0f4a214cfc8c,5c43f80d8bb6fd000163fad1,AWAITING REVIEW,2019-11-20 06:20:33.443000,2019-11-20 06:23:12.502000,159.059,61,96,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4db2ae0b21b4b3d3bd0fc,5b7392e0924a8800013e8482,AWAITING REVIEW,2019-11-20 06:20:31.158000,2019-11-20 06:26:31.729000,360.571,24,76,1,99,,4D8547F3,Female,Yes,Other,Greece,Greek,Liberal,United States,Netherlands
5dd4db30e0b21b4b3d3bd0fd,5da79692e7d12f00165fbe54,AWAITING REVIEW,2019-11-20 06:20:32.483000,2019-11-20 06:24:24.127000,231.644,20,65,1,100,,4D8547F3,Female,No,DATA EXPIRED,United States,English,Liberal,United States,United States
5dd4db373683dc4a063b922b,59278c090220760001fda664,AWAITING REVIEW,2019-11-20 06:20:58.968000,2019-11-20 06:24:18.805000,199.837,21,56,0,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db3c18beb64a3f6a57df,5c662bfcc3aaf50001c67aab,AWAITING REVIEW,2019-11-20 06:20:46.791000,2019-11-20 06:23:01.293000,134.502,18,293,0,100,,4D8547F3,Male,Yes,Other,Russian Federation,English,Liberal,United States,United States
5dd4db425c56384ae6e69e12,5d4271aa397a630001f3c191,AWAITING REVIEW,2019-11-20 06:20:53.315000,2019-11-20 06:21:45.607000,52.292,33,61,0,100,,4D8547F3,Female,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4db4cac504a4a98362eb0,5c46cd391ddd660001ca68a4,AWAITING REVIEW,2019-11-20 06:21:03.300000,2019-11-20 06:23:10.688000,127.388,33,393,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4db5de426bd49e8e2bdbd,5c31f92c23f1c60001a6a3e8,AWAITING REVIEW,2019-11-20 06:21:18.865000,2019-11-20 06:26:24.042000,305.177,24,232,0,100,,4D8547F3,Female,No,Other,United States,English,Liberal,United States,United States
5dd4db67fbb5735af1dc59ec,5d59d45f44609300152e3404,AWAITING REVIEW,2019-11-20 06:21:27.273000,2019-11-20 06:24:47.056000,199.783,20,144,4,95,,4D8547F3,Male,Yes,Unemployed (and job seeking),Vietnam,Vietnamese,Liberal,United States,United States
5dd4db688ed6bf4a1f5a21c4,5d923c2e235f4b0017f269c2,AWAITING REVIEW,2019-11-20 06:21:33.812000,2019-11-20 06:27:37.741000,363.929,35,75,1,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db6983e3094a657d5b5b,5b0763afa84dcf0001bef586,AWAITING REVIEW,2019-11-20 06:21:34.826000,2019-11-20 06:31:16.604000,581.778,30,560,0,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db6e954d194a2c897a61,5a8e310b17ef35000170e0a8,AWAITING REVIEW,2019-11-20 06:21:37.313000,2019-11-20 06:24:33.619000,176.306,23,85,0,100,,4D8547F3,Female,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4db7082569a4a45aa5be1,5b7ca5e38a78ff000189cf02,AWAITING REVIEW,2019-11-20 06:21:41.551000,2019-11-20 06:35:17.758000,816.207,28,425,0,100,,4D8547F3,Female,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4db71954d194a2c897a62,5c02a041c776820001bd6b41,AWAITING REVIEW,2019-11-20 06:21:39.465000,2019-11-20 06:23:40.715000,121.25,40,285,0,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4db7696afdf4a5cb9331c,5c6ef060f9ff2700016f0f6c,AWAITING REVIEW,2019-11-20 06:21:45.954000,2019-11-20 06:22:36.211000,50.257,39,354,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4db7b3708104a4b7b72b1,5dbf466c3e8c0f3ef727b197,AWAITING REVIEW,2019-11-20 06:22:05.441000,2019-11-20 06:23:16.677000,71.236,29,36,0,100,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4db82670d1a4990deb133,5d5f97d18d3cd600171a294c,AWAITING REVIEW,2019-11-20 06:21:54.438000,2019-11-20 06:30:39.625000,525.187,18,96,1,100,,4D8547F3,Male,Yes,DATA EXPIRED,United States,English,Liberal,United States,United States
5dd4db887cc9734a7a9b9699,5d4702f04f947a0001181420,AWAITING REVIEW,2019-11-20 06:22:00.232000,2019-11-20 06:25:10.789000,190.557,22,170,1,100,,4D8547F3,Male,No,Part-Time,United States,English,Liberal,United States,United States
5dd4db8b8ed6bf4a7628b037,5d63ff3c8979c6001bb4891b,AWAITING REVIEW,2019-11-20 06:22:04.401000,2019-11-20 06:27:41.528000,337.127,21,67,0,100,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4db9382569a4a9777bebc,58911e3417b2000001146c7d,AWAITING REVIEW,2019-11-20 06:22:14.309000,2019-11-20 06:26:16.755000,242.446,31,375,1,100,,4D8547F3,Male,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4dbabf30aa64a8af46b30,5cea73210b20970001acee5f,TIMED-OUT,2019-11-20 06:22:39.594000,,53906.242501,36,233,1,100,,,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dbb34b5dd44acd0fadaf,595ebdccd865d10001cd6034,AWAITING REVIEW,2019-11-20 06:22:57.015000,2019-11-20 06:24:48.057000,111.042,35,72,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dbb4848b0f4a214cfc8d,5ac47e09f69e940001d97449,AWAITING REVIEW,2019-11-20 06:22:48.334000,2019-11-20 06:26:49.180000,240.846,38,297,0,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4dbba8ed6bf4a7628b038,55b53384fdf99b2b69c82509,AWAITING REVIEW,2019-11-20 06:22:54.082000,2019-11-20 06:23:56.794000,62.712,36,1198,6,100,,4D8547F3,Male,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4dbc6535a714aaebf37f3,5da0c294d0565c0014c1827b,AWAITING REVIEW,2019-11-20 06:23:02.363000,2019-11-20 06:25:39.418000,157.055,21,54,0,100,,4D8547F3,Female,Yes,Unemployed (and job seeking),Japan,Chinese,Liberal,United States,Canada
5dd4dbd5a4aa264b525de257,5b060d9e68eff50001d1a2c1,AWAITING REVIEW,2019-11-20 06:23:19.936000,2019-11-20 06:24:23.680000,63.744,34,308,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dbd996afdf4a5cb93320,5d4523425c4d1a000104f55a,AWAITING REVIEW,2019-11-20 06:23:23.564000,2019-11-20 06:27:03.071000,219.507,31,94,0,100,,4D8547F3,Male,No,Full-Time,China,Chinese,Liberal,United States,United States
5dd4dbdce25acf49eb460322,5d8108c0a6d2bf001afdb2d9,AWAITING REVIEW,2019-11-20 06:23:24.377000,2019-11-20 06:27:27.755000,243.378,34,40,0,100,,4D8547F3,Male,No,Part-Time,United States,English,Liberal,United States,United States
5dd4dbe29d9e304b454ce709,5d37e5a13cedb4001aafed7a,AWAITING REVIEW,2019-11-20 06:23:30.481000,2019-11-20 06:26:47.858000,197.377,21,148,0,100,,4D8547F3,Female,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4dbe5dd9a744b0887c192,5d58d7d6280de7001aa7952a,TIMED-OUT,2019-11-20 06:23:37.333000,,53848.708035,35,45,1,99,,,Female,No,Other,United States,English,Liberal,United States,United States
5dd4dbe9946f7c4ad794ebb5,5cd174f12ce2410012540c94,AWAITING REVIEW,2019-11-20 06:23:40.406000,2019-11-20 06:25:13.430000,93.024,28,214,1,100,,4D8547F3,Female,Yes,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4dbedd2c3e049e9db1177,5ceef5a66441f4000139711f,AWAITING REVIEW,2019-11-20 06:23:47.077000,2019-11-20 06:42:39.831000,1132.754,51,156,1,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4dbf0ef419749e28affe5,5d4200720eddc0000173e988,AWAITING REVIEW,2019-11-20 06:23:46.794000,2019-11-20 06:31:21.102000,454.308,22,138,4,96,,4D8547F3,Male,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4dc0037081049e9917c15,5b91f3f9d99ca20001ef6d8b,AWAITING REVIEW,2019-11-20 06:24:10.015000,2019-11-20 06:29:43.175000,333.16,58,527,0,100,,4D8547F3,Female,No,Part-Time,United States,English,Liberal,United States,United States
5dd4dc0ab966de4a76328dea,5c476d19e101a500012ec201,AWAITING REVIEW,2019-11-20 06:24:12.674000,2019-11-20 06:35:48.682000,696.008,39,190,2,99,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dc0d710dfc4aaceca231,5dcba335ff014d85185aefa4,AWAITING REVIEW,2019-11-20 06:24:15.573000,2019-11-20 06:28:57.866000,282.293,36,10,0,100,,4D8547F3,Male,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4dc101228d94a3b5c82e7,5a01dd7b728b1b0001ad8acb,AWAITING REVIEW,2019-11-20 06:24:16.251000,2019-11-20 06:43:00.703000,1124.452,24,538,2,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dc1180628749b834befe,5dc368ce880a2927e264dbec,AWAITING REVIEW,2019-11-20 06:24:17.595000,2019-11-20 06:27:23.701000,186.106,30,26,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,
5dd4dc14e73e614a1508dba6,5d617ba9364f9a0019f1dac3,AWAITING REVIEW,2019-11-20 06:24:20.659000,2019-11-20 06:24:53.929000,33.27,33,117,0,100,,4D8547F3,Female,Yes,Part-Time,Japan,Japanese,Liberal,United States,United States
5dd4dc1b929d5d4a79b064af,5ca185065225d60017b0ecb1,AWAITING REVIEW,2019-11-20 06:24:33.838000,2019-11-20 06:31:15.798000,401.96,31,210,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dc28cf8e7e4aa78eaa4c,5c80321274a33f0001e9087f,AWAITING REVIEW,2019-11-20 06:24:46.226000,2019-11-20 06:26:01.291000,75.065,19,158,0,100,,4D8547F3,Female,Yes,Part-Time,United States,Spanish,Liberal,United States,Mexico
5dd4dc2a9d9e304b454ce70a,5d8c15010a2714001b629540,AWAITING REVIEW,2019-11-20 06:24:46.705000,2019-11-20 06:27:16.313000,149.608,22,85,1,99,,4D8547F3,Male,Yes,Due to start a new job within the next month,United States,English,Liberal,United States,United States
5dd4dc34523df04a099e12a1,5c70506a18126000010d4b00,AWAITING REVIEW,2019-11-20 06:25:08.877000,2019-11-20 06:28:22.489000,193.612,21,209,0,100,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4dc4fcb9dd64a39fa12fd,5da4813cfc4fb10016e5c6a1,AWAITING REVIEW,2019-11-20 06:25:32.051000,2019-11-20 06:28:14.881000,162.83,27,94,0,100,,4D8547F3,Male,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4dc57ed7ea449843ebd87,5559a3a1fdf99b514bba308e,AWAITING REVIEW,2019-11-20 06:25:35.135000,2019-11-20 06:27:16.768000,101.633,30,1342,9,99,,4D8547F3,Female,No,Part-Time,United States,English,Liberal,United States,United States
5dd4dc58cc19204910a237fe,5dc05326c0621a000d3c9e28,AWAITING REVIEW,2019-11-20 06:25:38.835000,2019-11-20 06:28:16.180000,157.345,23,36,0,100,,4D8547F3,Female,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dc639b66eb4b8896877b,5ad93fa080491c000142d619,AWAITING REVIEW,2019-11-20 06:25:39.724000,2019-11-20 06:31:20.854000,341.13,27,194,0,100,,4D8547F3,Female,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4dc6be73e614a1508dba7,5d76bc8e529c4b00197aa4f2,AWAITING REVIEW,2019-11-20 06:25:47.449000,2019-11-20 06:27:50.083000,122.634,21,151,0,100,,4D8547F3,Female,Yes,Other,Taiwan,English,Liberal,United States,United States
5dd4dc793c49374b3f0f99c2,5d94f75c6e3983001ab9de2d,AWAITING REVIEW,2019-11-20 06:26:05.894000,2019-11-20 06:29:15.163000,189.269,29,92,0,100,,4D8547F3,Female,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4dc7d523df04ab760d36d,5ca62477e8f5b200013ec11f,AWAITING REVIEW,2019-11-20 06:26:11.235000,2019-11-20 06:27:56.248000,105.013,27,125,3,98,,4D8547F3,Male,Yes,Full-Time,United States,English,Liberal,United States,United States
5dd4dc80d690724a4a577bcf,5d63867550d0dd0017805976,AWAITING REVIEW,2019-11-20 06:26:13.124000,2019-11-20 06:32:49.483000,396.359,36,149,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dc85fef7c24a927e87a5,5d773df22fa4bf001a045aa9,AWAITING REVIEW,2019-11-20 06:26:15.993000,2019-11-20 06:27:42.275000,86.282,29,40,0,100,,4D8547F3,Female,No,Other,United States,English,Liberal,United States,United States
5dd4dc8df78cf24a2bb84dee,5aea962d0ef2f20001858c9c,AWAITING REVIEW,2019-11-20 06:29:28.210000,2019-11-20 06:33:20.952000,232.742,36,690,1,100,,4D8547F3,Male,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4dc8dade4624a7377607b,5d13d574bc547a00182551b8,AWAITING REVIEW,2019-11-20 06:26:24.629000,2019-11-20 06:28:55.071000,150.442,21,136,2,98,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4dc92da167d4a9ed15eb4,5d047da3cc139a0001d690f5,AWAITING REVIEW,2019-11-20 06:26:28.269000,2019-11-20 06:29:26.982000,178.713,21,42,0,100,,4D8547F3,Female,Yes,Other,United States,English,Liberal,United States,United States
5dd4dca30605eb4aec107dee,5da0d9012a275000127cf814,AWAITING REVIEW,2019-11-20 06:26:46.106000,2019-11-20 06:30:41.931000,235.825,45,61,1,99,,4D8547F3,Male,Yes,Full-Time,United States,Italian,Liberal,United States,Italy
5dd4dcb17aa0d64ad56687d6,5d5e4baff521f100166c5d3a,AWAITING REVIEW,2019-11-20 06:26:57.733000,2019-11-20 06:29:33.333000,155.6,22,148,1,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dcb8e2dcbd4a933358fc,5d950548d4ff5900180f87b5,AWAITING REVIEW,2019-11-20 06:27:04.217000,2019-11-20 06:32:12.389000,308.172,34,101,0,100,,4D8547F3,Male,No,Full-Time,United States,Spanish,Liberal,United States,United States
5dd4ddeab966de4aca718313,5d48fcc5643eb80001fb43fa,AWAITING REVIEW,2019-11-20 06:32:10.485000,2019-11-20 06:32:53.571000,43.086,26,156,1,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4e3fb5726044ab11aa293,5c3255d77bd5e20001d548d0,AWAITING REVIEW,2019-11-20 06:58:10.734000,2019-11-20 06:59:16.511000,65.777,29,396,2,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4e50fa4aa264af6e70d9e,5d1d0270601cd7000172942f,AWAITING REVIEW,2019-11-20 07:02:44.121000,2019-11-20 07:05:24.817000,160.696,24,171,0,100,,4D8547F3,Female,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
